he2022
105
pe
wavel  k
3.1134299979  n  1.52881
3.1222100029  n  1.55937
3.1309900046  n  1.58817
3.1397800042  n  1.61409
3.1485599955  n  1.63716
3.1573400022  n  1.65804
3.1661299976  n  1.67503
3.1749100019  n  1.68727
3.183690002  n  1.69542
3.1924799984  n  1.69826
3.2012599954  n  1.6963
3.2100399984  n  1.68946
3.218830001  n  1.67896
3.2276099984  n  1.66449
3.2363900002  n  1.64766
3.2451799982  n  1.62994
3.2539599969  n  1.61094
3.2627500015  n  1.59371
3.2715299986  n  1.57682
3.280309998  n  1.56163
3.2891000035  n  1.54773
3.297880002  n  1.5351
3.3066599951  n  1.52372
3.315449995  n  1.51295
3.324229996  n  1.50289
3.333009998  n  1.49409
3.3417999953  n  1.48563
3.3505799971  n  1.47801
3.3593599973  n  1.47054
3.3681500009  n  1.46364
3.3769299948  n  1.45714
3.3857099961  n  1.45113
3.3945000057  n  1.44558
3.4032800057  n  1.43973
3.4120599984  n  1.43468
3.4208499993  n  1.42986
3.4296300045  n  1.42503
3.4384199987  n  1.42074
3.4472000028  n  1.41635
3.4559800042  n  1.41255
3.4647699952  n  1.40832
3.4735499988  n  1.40507
3.4823299994  n  1.40138
3.4911199942  n  1.39844
3.4999000026  n  1.39523
3.5086800024  n  1.39187
3.5174700037  n  1.38877
3.5262500045  n  1.3863
3.5350299962  n  1.38365
3.5438199988  n  1.38093
3.5525999945  n  1.37832
3.5613799979  n  1.37634
3.5701699973  n  1.37379
3.5789500033  n  1.37153
3.5877400007  n  1.36922
3.5965200015  n  1.36767
3.6053000044  n  1.36542
3.6140899997  n  1.3636
3.6228700002  n  1.36158
3.6316500056  n  1.36013
3.6404400025  n  1.35779
3.6492199977  n  1.35628
3.6580000014  n  1.35461
3.6667900065  n  1.35294
3.675570006  n  1.35115
3.6843500042  n  1.34956
3.6931399965  n  1.34821
3.7019199953  n  1.34669
3.7106999949  n  1.34497
3.7194900045  n  1.34363
3.7282700066  n  1.34238
3.737049996  n  1.34086
3.7458400059  n  1.3396
3.7546199942  n  1.33819
3.7634099942  n  1.33711
3.7721900067  n  1.3356
3.7809699961  n  1.3346
3.7897600018  n  1.33325
3.7985399947  n  1.33229
3.8073200022  n  1.33106
3.8161099938  n  1.33003
3.8248900028  n  1.32881
