mastrapa2008Ic
100
ne
Wavelength (microns) 	 real  imaginary
1.1534982e+00  1.3118240e+00  1.0942516e-08
1.1536266e+00  1.3118221e+00  1.0943734e-08
1.1537551e+00  1.3118199e+00  1.0944952e-08
1.1538836e+00  1.3118178e+00  1.0946171e-08
1.1540121e+00  1.3118157e+00  1.0947390e-08
1.1541406e+00  1.3118136e+00  1.0948609e-08
1.1542691e+00  1.3118114e+00  1.0949829e-08
1.1543977e+00  1.3118094e+00  1.0951049e-08
1.1545264e+00  1.3118073e+00  1.0952269e-08
1.1546550e+00  1.3118052e+00  1.0953489e-08
1.1547836e+00  1.3118031e+00  1.0954710e-08
1.1549124e+00  1.3118010e+00  1.0955931e-08
1.1550411e+00  1.3117989e+00  1.0957152e-08
1.1551698e+00  1.3117968e+00  1.0958373e-08
1.1552986e+00  1.3117948e+00  1.0959595e-08
1.1554275e+00  1.3117926e+00  1.0960817e-08
1.1555563e+00  1.3117905e+00  1.0962039e-08
1.1556851e+00  1.3117884e+00  1.0963262e-08
1.1558141e+00  1.3117863e+00  1.0964484e-08
1.1559430e+00  1.3117841e+00  1.0965708e-08
1.1560719e+00  1.3117820e+00  1.0966931e-08
1.1562009e+00  1.3117799e+00  1.0968155e-08
1.1563299e+00  1.3117778e+00  1.0969378e-08
1.1564590e+00  1.3117757e+00  1.0970603e-08
1.1565881e+00  1.3117737e+00  1.0971827e-08
1.1567172e+00  1.3117715e+00  1.0973052e-08
1.1568463e+00  1.3117694e+00  1.0974277e-08
1.1569754e+00  1.3117672e+00  1.0975502e-08
1.1571046e+00  1.3117651e+00  1.0976727e-08
1.1572340e+00  1.3117630e+00  1.0977953e-08
1.1573631e+00  1.3117609e+00  1.0979179e-08
1.1574924e+00  1.3117588e+00  1.0980406e-08
1.1576217e+00  1.3117566e+00  1.0981632e-08
1.1577510e+00  1.3117545e+00  1.0982859e-08
1.1578804e+00  1.3117524e+00  1.0984086e-08
1.1580098e+00  1.3117503e+00  1.0985314e-08
1.1581392e+00  1.3117481e+00  1.0986542e-08
1.1582686e+00  1.3117460e+00  1.0987770e-08
1.1583982e+00  1.3117439e+00  1.0988998e-08
1.1585276e+00  1.3117418e+00  1.0990226e-08
1.1586572e+00  1.3117396e+00  1.0991455e-08
1.1587867e+00  1.3117375e+00  1.0992684e-08
1.1589164e+00  1.3117354e+00  1.0993914e-08
1.1590459e+00  1.3117332e+00  1.0995143e-08
1.1591756e+00  1.3117311e+00  1.0996373e-08
1.1593053e+00  1.3117290e+00  1.0997603e-08
1.1594350e+00  1.3117268e+00  1.0998834e-08
1.1595647e+00  1.3117247e+00  1.1000065e-08
1.1596946e+00  1.3117226e+00  1.1001296e-08
1.1598243e+00  1.3117204e+00  1.1002527e-08
1.1599541e+00  1.3117183e+00  1.1003759e-08
1.1600840e+00  1.3117161e+00  1.1004990e-08
1.1602138e+00  1.3117141e+00  1.1006223e-08
1.1603438e+00  1.3117119e+00  1.1007455e-08
1.1604737e+00  1.3117096e+00  1.1008688e-08
1.1606036e+00  1.3117076e+00  1.1009921e-08
1.1607337e+00  1.3117054e+00  1.1011154e-08
1.1608638e+00  1.3117033e+00  1.1012387e-08
1.1609938e+00  1.3117011e+00  1.1013621e-08
1.1611238e+00  1.3116990e+00  1.1014855e-08
1.1612540e+00  1.3116968e+00  1.1016090e-08
1.1613841e+00  1.3116946e+00  1.1017324e-08
1.1615143e+00  1.3116925e+00  5.9124538e-08
1.1616445e+00  1.3116904e+00  1.1898428e-07
1.1617748e+00  1.3116882e+00  1.1021030e-08
1.1619051e+00  1.3116862e+00  1.1022265e-08
1.1620353e+00  1.3116839e+00  1.1023501e-08
1.1621656e+00  1.3116817e+00  1.1024738e-08
1.1622959e+00  1.3116796e+00  1.1025974e-08
1.1624264e+00  1.3116775e+00  1.1027211e-08
1.1625566e+00  1.3116752e+00  4.3931351e-08
1.1626872e+00  1.3116730e+00  1.1029685e-08
1.1628176e+00  1.3116708e+00  1.1030923e-08
1.1629481e+00  1.3116688e+00  2.2357409e-07
1.1630787e+00  1.3116666e+00  1.1033399e-08
1.1632092e+00  1.3116643e+00  1.1706673e-07
1.1633399e+00  1.3116623e+00  2.5991301e-07
1.1634704e+00  1.3116601e+00  1.1037116e-08
1.1636010e+00  1.3116578e+00  1.1038355e-08
1.1637317e+00  1.3116556e+00  1.8767329e-07
1.1638623e+00  1.3116535e+00  1.1644975e-07
1.1639932e+00  1.3116513e+00  2.3091630e-07
