mastrapa2008Ia
97.5
ne
wavel, n, k
1.151736 1.289876 5.672486E-06
1.151864 1.289875 4.558808E-06
1.151992 1.289875 4.731606E-06
1.152120 1.289874 5.628486E-06
1.152248 1.289875 7.262128E-06
1.152376 1.289876 6.752314E-06
1.152504 1.289875 5.323639E-06
1.152632 1.289875 7.156686E-06
1.152760 1.289876 5.890423E-06
1.152889 1.289876 6.537317E-06
1.153017 1.289876 5.681867E-06
1.153145 1.289875 5.526692E-06
1.153273 1.289875 6.956405E-06
1.153401 1.289876 6.597096E-06
1.153530 1.289876 4.798359E-06
1.153658 1.289875 5.897472E-06
1.153787 1.289875 5.318680E-06
1.153915 1.289875 6.075926E-06
1.154043 1.289875 5.031981E-06
1.154172 1.289874 5.230145E-06
1.154300 1.289874 7.746099E-06
1.154429 1.289875 6.665205E-06
1.154557 1.289874 5.536899E-06
1.154686 1.289874 7.204462E-06
1.154814 1.289874 8.081526E-06
1.154943 1.289875 6.892195E-06
1.155072 1.289875 6.391953E-06
1.155201 1.289874 5.216812E-06
1.155329 1.289873 7.294628E-06
1.155458 1.289874 8.846195E-06
1.155587 1.289875 6.132878E-06
1.155716 1.289874 6.003761E-06
1.155844 1.289874 6.989395E-06
1.155973 1.289874 6.758354E-06
1.156102 1.289873 6.437863E-06
1.156231 1.289873 6.418262E-06
1.156360 1.289873 8.699295E-06
1.156489 1.289874 8.921355E-06
1.156618 1.289874 7.280140E-06
1.156747 1.289873 7.550413E-06
1.156876 1.289874 8.317654E-06
1.157005 1.289874 8.446269E-06
1.157134 1.289874 7.969243E-06
1.157263 1.289873 6.518362E-06
1.157392 1.289873 8.713521E-06
1.157522 1.289874 9.262993E-06
1.157651 1.289874 8.448270E-06
1.157780 1.289874 7.299046E-06
1.157910 1.289874 7.593659E-06
1.158039 1.289874 7.897229E-06
1.158168 1.289874 7.589867E-06
1.158298 1.289873 6.740814E-06
1.158427 1.289873 9.341789E-06
1.158556 1.289873 8.354323E-06
1.158686 1.289873 8.539484E-06
1.158815 1.289873 7.997275E-06
1.158945 1.289873 9.749827E-06
1.159074 1.289874 9.392067E-06
1.159204 1.289875 8.898825E-06
1.159334 1.289874 6.030505E-06
1.159463 1.289873 7.885111E-06
1.159593 1.289873 9.282331E-06
1.159723 1.289874 8.300670E-06
1.159852 1.289873 7.607836E-06
1.159982 1.289873 8.794019E-06
1.160112 1.289873 8.191526E-06
1.160242 1.289873 8.748700E-06
1.160372 1.289873 7.459864E-06
1.160501 1.289872 8.908335E-06
1.160631 1.289873 9.948284E-06
1.160761 1.289873 8.651764E-06
1.160891 1.289873 8.674390E-06
1.161021 1.289873 9.327221E-06
1.161151 1.289873 9.899383E-06
1.161281 1.289874 8.713953E-06
1.161411 1.289873 7.190867E-06
1.161541 1.289872 8.283917E-06
1.161672 1.289872 7.842655E-06
1.161802 1.289872 9.066582E-06
1.161932 1.289872 8.552997E-06
1.162062 1.289872 9.693527E-06
1.162192 1.289872 8.937558E-06
1.162323 1.289872 8.887959E-06
1.162453 1.289872 9.120445E-06
1.162583 1.289871 9.434206E-06
1.162714 1.289872 1.106445E-05
1.162844 1.289872 1.081965E-05
1.162974 1.289873 9.623823E-06
1.163105 1.289872 9.437547E-06
