hudgins1993
140
pe
wavel  n  k
14.1354743865  1.5743  0.24834
14.0970156618  1.5741  0.25283
14.0587656404  1.5734  0.25743
14.020722628  1.5726  0.26204
13.9828849488  1.5717  0.26667
13.9452509448  1.5706  0.27132
13.9078189758  1.5694  0.27598
13.8705874194  1.5681  0.28065
13.8335546702  1.5674  0.28523
13.7969094923  1.5648  0.29017
13.7602686004  1.5637  0.29481
13.7238218099  1.562  0.29959
13.6875675824  1.5601  0.30439
13.6515043958  1.5582  0.30921
13.6156307441  1.5561  0.31407
13.579945137  1.5539  0.31896
13.5444460999  1.5515  0.32385
13.5091321733  1.549  0.32882
13.4740019133  1.5471  0.33364
13.4392345012  1.543  0.33897
13.4044663682  1.5406  0.34392
13.3698776656  1.5374  0.34908
13.3354670081  1.5337  0.35433
13.3012330243  1.5294  0.35977
13.2671743572  1.5256  0.3622
13.2332896635  1.5226  0.36735
13.1995776135  1.5187  0.3727
13.1660368912  1.5139  0.37831
13.1326661939  1.5104  0.38073
13.0996358301  1.5051  0.38648
13.0666004626  1.5007  0.39205
13.0337312966  1.4956  0.39489
13.0010270811  1.4903  0.40064
12.9684865776  1.4846  0.40369
12.9361085598  1.4798  0.40646
12.9038918138  1.4744  0.41235
12.8718351375  1.4681  0.41558
12.8399373411  1.4631  0.41844
12.8083612983  1.4557  0.42197
12.7767769303  1.4507  0.42488
12.745347948  1.4447  0.42801
12.7140732076  1.4387  0.43121
12.6829515765  1.4324  0.4345
12.651981933  1.4253  0.43801
12.6211631664  1.4188  0.43838
12.5904941769  1.4129  0.44157
12.5599738753  1.4058  0.44513
12.5296011828  1.4001  0.44528
12.4995312676  1.3923  0.44905
12.4694498479  1.3853  0.4526
12.4395128687  1.377  0.45351
12.4097192921  1.3693  0.45425
12.3800680904  1.3619  0.45491
12.3505582452  1.3547  0.45554
12.3211887483  1.3474  0.45616
12.2919586007  1.3401  0.45683
12.262866813  1.3337  0.4572
12.2340620756  1.3241  0.45851
12.2052433726  1.3181  0.45569
12.1765601218  1.3107  0.45947
12.1480113705  1.3024  0.45733
12.1195961751  1.2945  0.45817
12.0913136003  1.2867  0.45586
12.06316272  1.2788  0.4567
12.0351426164  1.2703  0.45459
12.0072523804  1.2625  0.45224
11.9794911112  1.2568  0.44932
11.9520007649  1.2477  0.45049
11.9244941033  1.2401  0.44808
11.8971137602  1.2321  0.4458
11.8698588674  1.2241  0.4435
11.8427285647  1.2156  0.44133
11.8157219997  1.208  0.43576
11.7888383279  1.2013  0.43302
11.7620767123  1.194  0.4305
11.7354363235  1.1867  0.42795
11.7090534401  1.1769  0.42291
11.6826524294  1.1712  0.41675
11.6563702063  1.1645  0.414
11.6302059709  1.1578  0.40808
11.6041589306  1.151  0.40533
11.5782282995  1.1438  0.39949
11.5524132991  1.1379  0.39332
11.5267131577  1.1315  0.39044
11.5011271105  1.1242  0.3846
11.4756543992  1.1185  0.37836
11.4504253833  1.1109  0.37256
11.425176519  1.1056  0.36621
11.4000387601  1.0996  0.36001
11.375011375  1.0932  0.35385
11.3500936383  1.0878  0.34432
11.3252848309  1.0837  0.3377
11.3005842402  1.079  0.33118
11.2759911596  1.0738  0.32478
11.2515048888  1.0694  0.31508
11.2271247334  1.0666  0.3082
11.2029755103  1.0612  0.30186
11.1788049857  1.0582  0.29194
11.1547385329  1.0554  0.28509
11.1307754811  1.0515  0.27846
11.1069151654  1.0479  0.26872
11.0831569264  1.0462  0.25873
11.0595001106  1.0448  0.2518
11.0359440698  1.0422  0.24507
11.0124881616  1.0404  0.23523
10.989252511  1.0389  0.22539
10.9659944512  1.0392  0.21839
10.9428346319  1.0378  0.21165
10.9197724319  1.0365  0.20195
10.8968072355  1.0371  0.19215
10.8739384318  1.0379  0.18535
10.8511654152  1.0376  0.1787
10.8284875851  1.0375  0.16916
10.8059043461  1.0392  0.1596
10.7834151076  1.0415  0.15294
10.7611350845  1.0419  0.14648
10.7388316151  1.0438  0.13716
10.7166204066  1.0458  0.13076
10.6945008876  1.0484  0.12162
10.6724724917  1.0517  0.11534
10.6505346568  1.0545  0.10915
10.6286868257  1.0568  0.10304
10.6069284457  1.0602  0.094251
10.5852589684  1.0652  0.08829
10.5637894425  1.0685  0.085069
10.5422956903  1.0714  0.079241
10.5208892256  1.0748  0.073489
10.4995695176  1.0785  0.067813
10.4783360402  1.0826  0.062221
10.4571882712  1.0875  0.056724
10.4361256927  1.0922  0.053808
10.4151477909  1.0957  0.050922
10.3942540564  1.0995  0.045584
10.3734439834  1.1036  0.0428
10.3528242505  1.1077  0.037593
10.3321795733  1.1126  0.034927
10.3116170678  1.1168  0.032269
10.2911362444  1.1209  0.029637
10.2707366172  1.1248  0.027031
10.2504177045  1.1287  0.024432
10.2301790281  1.1327  0.02189
10.2100201137  1.1368  0.019385
10.1899404907  1.1414  0.016934
10.170043121  1.1452  0.016783
10.1501202789  1.1489  0.014329
10.1302753409  1.1523  0.014169
10.1105078508  1.1553  0.011724
10.0908173562  1.1594  0.0093341
10.0712034081  1.1633  0.0092288
10.051665561  1.1661  0.0090657
10.0322033728  1.1692  0.0066968
10.012816405  1.1724  0.0065655
9.9940035978  1.1754  0.0042299
9.9740674247  1.1792  0.0041461
9.9552015928  1.1817  0.0039902
9.9364069952  1.1847  0.0016789
9.9166997223  1.1885  0.0016043
9.8980500841  1.1915  0.001487
9.8794704604  1.1943  0.0013621
9.8609604575  1.1972  0.0012395
9.8415510284  1.1991  0.0031809
9.8231827112  1.2007  0.00087613
9.8048828317  1.2031  0.00073487
9.7856933164  1.2051  0.00054836
9.7675327212  1.2075  0.0
9.7494394072  1.2108  0.0
9.7304660893  1.2127  0.00014901
9.7125097125  1.2145  0.0
9.6946194862  1.2172  0.0
9.6767950455  1.2196  0.0
9.6581031485  1.2217  0.0
9.6404126097  1.2237  0.0
9.622786759  1.2256  0.0
9.6043027276  1.2271  0.0
9.5868085514  1.2295  0.0
9.5693779904  1.2316  0.0
9.5520106983  1.2337  0.0
9.5337973115  1.2359  0.0
9.5165588123  1.2372  0.0
9.4993825401  1.2387  0.0
9.4813691097  1.2402  0.0
9.4643195154  1.2418  0.0
9.447331129  1.2433  0.0
9.4304036213  1.2449  0.0
9.4126506024  1.2465  0.0
9.3958470356  1.2484  0.0
9.3791033577  1.2496  0.0012777
9.3615427823  1.25  0.0012857
9.3449210354  1.2515  0.0
9.328358209  1.2532  0.0014008
9.3118539901  1.2539  0.0014213
9.2945441026  1.255  0.0014554
9.2781592132  1.2559  0.001487
9.2618319904  1.257  0.0015196
9.244707405  1.2581  0.0015576
9.2284976006  1.2591  0.0015901
9.2123445417  1.2602  0.0016245
9.1962479308  1.2613  0.0016586
9.179364788  1.2627  0.0017059
9.163383121  1.263  0.003581
9.147457007  1.2634  0.001716
9.130752374  1.2648  0.0017623
9.1149393857  1.2658  0.0017944
9.0991810737  1.2667  0.0018227
9.0826521344  1.2678  0.0018566
9.0670051682  1.2687  0.0018826
9.0514120203  1.2696  0.0019103
9.0358724135  1.2705  0.0019355
9.0195724723  1.2715  0.0019664
9.0041419053  1.2724  0.0019903
8.9887640449  1.2732  0.0020138
8.9726334679  1.2742  0.0020424
8.9573629523  1.275  0.0020649
8.9421443262  1.2758  0.0020894
8.9269773255  1.2766  0.0021112
8.9110675459  1.2776  0.0021379
8.8960056934  1.2783  0.002159
8.8809946714  1.2791  0.0021797
8.865248227  1.28  0.0022056
8.8503407381  1.2808  0.0022248
8.8354833009  1.2816  0.0022465
8.8206756638  1.2823  0.0022654
8.805142203  1.2832  0.0022901
8.7904360056  1.2839  0.002309
8.7757788504  1.2846  0.0023267
8.7604029785  1.2855  0.0023506
8.7458457233  1.2862  0.0023684
8.7313367677  1.2869  0.0023873
8.7168758717  1.2876  0.0024047
8.7017055343  1.2885  0.002429
8.6873425419  1.2892  0.0024453
8.6730268864  1.2899  0.0024625
8.658008658  1.2907  0.0024858
8.6437894373  1.2914  0.0025015
8.629616845  1.2921  0.0025195
8.6154906522  1.2928  0.0025356
8.6006708523  1.2937  0.0025591
8.5866391894  1.2944  0.0025768
8.5726532362  1.2952  0.0025952
8.5579803166  1.2963  0.0026268
8.5440874915  1.2964  0.0043241
8.5302396997  1.2966  0.0026233
8.5157114877  1.2978  0.002656
8.5019554498  1.2986  0.0026758
8.4882437824  1.2994  0.0026987
8.4745762712  1.3003  0.002721
8.4602368866  1.3017  0.0027587
8.4466593462  1.3022  0.0044444
8.4331253162  1.3023  0.0044359
8.4189257451  1.3029  0.0044449
8.4054803732  1.3032  0.0044483
8.3920778785  1.3038  0.0044563
8.3787180561  1.3043  0.0044625
8.3647009619  1.3051  0.0044777
8.3514280942  1.3056  0.0044865
8.3381972817  1.3062  0.0044962
8.3243153251  1.3072  0.0045165
8.3111702128  1.3082  0.0045367
8.2980665505  1.3087  0.0061808
8.2850041425  1.3085  0.0061651
8.2712985939  1.3088  0.0061616
8.2583202577  1.3096  0.0045453
8.2453825858  1.3105  0.0061871
8.231807705  1.3109  0.0061894
8.2189529054  1.3112  0.0061873
8.2061381914  1.3118  0.0061916
8.1933633757  1.3122  0.0061929
8.1799591002  1.3131  0.0062056
8.1672655995  1.3136  0.0062109
8.1546114328  1.3144  0.006223
8.1413335504  1.3151  0.007831
8.1287595513  1.3147  0.0078087
8.1162243324  1.3143  0.0077852
8.1037277147  1.3161  0.00305
8.0906148867  1.3184  0.0078651
8.0781969464  1.3181  0.0078454
8.0658170673  1.3184  0.0078397
8.0528265421  1.3195  0.0078558
8.0405242422  1.3198  0.0094278
8.0282594733  1.3196  0.0094075
8.0153895479  1.3202  0.0094076
8.0032012805  1.3204  0.009397
7.991050024  1.321  0.009396
7.97893561  1.3215  0.0093954
7.9662232136  1.3221  0.010956
7.9541839007  1.3223  0.0093836
7.9421809229  1.3228  0.010939
7.9295852827  1.3233  0.010933
7.9176563737  1.3235  0.010921
7.9057633014  1.3241  0.010916
7.8939059046  1.3247  0.010914
7.8814627995  1.3255  0.012459
7.8696781302  1.3252  0.012435
7.85792865  1.3253  0.012417
7.8455986192  1.3262  0.012417
7.8339208774  1.3267  0.012408
7.8222778473  1.3271  0.013931
7.8106693744  1.3267  0.013903
7.7984870935  1.3274  0.013895
7.7869490734  1.3275  0.013877
7.7754451442  1.3278  0.013862
7.763372409  1.3284  0.015374
7.7519379845  1.3284  0.013833
7.7405371933  1.3291  0.015342
7.7291698872  1.3288  0.015314
7.7172403149  1.3296  0.015305
7.7059412807  1.3297  0.015286
7.6946752847  1.3302  0.015271
7.6828518746  1.3311  0.01677
7.6716532413  1.3306  0.016738
7.660487207  1.3308  0.016717
7.6493536296  1.3308  0.016692
7.6376689834  1.3321  0.01669
7.6266015863  1.332  0.01816
7.6155662173  1.3315  0.018125
7.6039844879  1.3322  0.01811
7.5930144267  1.3321  0.018081
7.5820759724  1.3321  0.018055
7.5705958059  1.3332  0.018046
7.5597218022  1.3335  0.018025
7.5488789915  1.3338  0.019485
7.5380672396  1.3333  0.019449
7.5267198555  1.3342  0.019433
7.5159714393  1.3341  0.019405
7.5052536776  1.3343  0.019381
7.4940047962  1.3353  0.020836
7.4833495473  1.3347  0.020798
7.4727245554  1.3348  0.02077
7.4621296918  1.3346  0.020738
7.4510096118  1.3356  0.020723
7.4404761905  1.3357  0.020694
7.4299725091  1.336  0.020669
7.4189479932  1.3371  0.022109
7.4085049637  1.3366  0.022072
7.3980912924  1.3371  0.022048
7.3877068558  1.3367  0.023465
7.3768073178  1.3373  0.023436
7.3664825046  1.3369  0.0234
7.3561865529  1.3366  0.023363
7.3453797561  1.3379  0.023345
7.3351426685  1.3373  0.024749
7.3249340756  1.3375  0.023276
7.3147538585  1.3375  0.024682
7.3040683661  1.3383  0.024655
7.2939460248  1.338  0.024618
7.2838517008  1.338  0.024584
7.2732562368  1.3391  0.02599
7.2632190587  1.3382  0.025946
7.2532095452  1.3383  0.025911
7.2432275822  1.3378  0.025872
7.2327498915  1.339  0.025846
7.2228241242  1.3388  0.025809
7.2129255626  1.3389  0.025775
7.2025352924  1.34  0.027167
7.1926922247  1.3393  0.027123
7.1828760236  1.3388  0.027082
7.1725720843  1.3401  0.027055
7.1628106869  1.3401  0.027019
7.1530758226  1.3403  0.028394
7.1433673834  1.3395  0.028349
7.1331764035  1.3408  0.02832
7.1235218692  1.34  0.02968
7.1138934339  1.3395  0.028233
7.1037863181  1.3409  0.029605
7.0942111237  1.3401  0.029559
7.0846617074  1.3402  0.029521
7.0751379652  1.3398  0.029478
7.0651405963  1.3414  0.029448
7.0556692302  1.3409  0.030799
7.0462232244  1.3399  0.030751
7.0363073459  1.341  0.030716
7.0269130771  1.3404  0.030671
7.0175438596  1.3407  0.030631
7.0081995935  1.3406  0.030591
6.9983903702  1.3418  0.031939
6.9890970087  1.3409  0.031891
6.9798282962  1.3403  0.031845
6.9700982784  1.3417  0.031809
6.9608798552  1.3407  0.03314
6.9516857838  1.3406  0.031719
6.9425159678  1.3407  0.031678
6.9328896284  1.3421  0.033014
6.9237693  1.3412  0.032966
6.914672936  1.3406  0.032919
6.9051236017  1.342  0.032882
6.8960761327  1.3418  0.032838
6.8870523416  1.342  0.034159
6.8780521356  1.341  0.03411
6.8686036129  1.3424  0.03407
6.8596515297  1.3414  0.035381
6.8507227513  1.3405  0.033971
6.841349114  1.3424  0.033935
6.8324678874  1.3419  0.035243
6.8236096895  1.3409  0.035193
6.8143100511  1.3422  0.035151
6.8054988431  1.3416  0.035103
6.7967103922  1.342  0.03506
6.7879446104  1.3411  0.036358
6.7787418655  1.3425  0.034969
6.7700223411  1.3421  0.036266
6.7613252197  1.3413  0.036216
6.7521944632  1.3427  0.036174
6.7435430575  1.3424  0.036126
6.7349137931  1.3425  0.037418
6.7263065851  1.3415  0.037367
6.7172701014  1.3428  0.037321
6.7087079029  1.3422  0.037271
6.7001675042  1.342  0.037223
6.6912010706  1.3436  0.038509
6.682705159  1.3421  0.039787
6.6742307949  1.3418  0.038406
6.6657778963  1.3414  0.038356
6.6569032086  1.3434  0.03831
6.6484941161  1.343  0.039585
6.6401062417  1.3417  0.040857
6.6312997347  1.3425  0.040803
6.6229551626  1.3412  0.04075
6.614631565  1.3415  0.039378
6.6063288631  1.3411  0.040647
6.5976116646  1.3424  0.040595
6.5893516078  1.3417  0.040543
6.581112208  1.3415  0.040491
6.5724613868  1.3426  0.043067
6.564264146  1.341  0.041698
6.5560873271  1.3403  0.041644
6.5475021279  1.342  0.041592
6.5393669893  1.3415  0.041539
6.531252041  1.3416  0.042795
6.5231572081  1.3405  0.04274
6.5146579805  1.342  0.042685
6.5066042033  1.3416  0.042631
6.4985703145  1.3409  0.04388
6.4901349948  1.3419  0.045124
6.4821416996  1.3399  0.045069
6.4741680694  1.3398  0.043712
6.4662140317  1.3393  0.043658
6.4578624475  1.3414  0.043603
6.4499484004  1.3407  0.044842
6.4420537267  1.3398  0.044787
6.4337643955  1.3413  0.046021
6.4259092662  1.3399  0.045966
6.4180732944  1.3399  0.045908
6.4102564103  1.3384  0.047143
6.4020486556  1.3397  0.045792
6.3942707334  1.3393  0.045736
6.3865116873  1.3384  0.046966
6.3783645873  1.3397  0.046905
6.3706440721  1.3387  0.046847
6.3629422245  1.339  0.04679
6.3552589768  1.3379  0.048015
6.3471913678  1.3392  0.047952
6.3395460885  1.3381  0.047894
6.3319192047  1.3373  0.047836
6.3239107064  1.3389  0.049051
6.3163213744  1.3374  0.048992
6.3087502366  1.3374  0.048932
6.3011972275  1.3365  0.048873
6.2932662052  1.3381  0.050082
6.2857502043  1.3366  0.050023
6.2782521346  1.3354  0.049963
6.2703787309  1.3374  0.049898
6.2629172669  1.3362  0.051108
6.2554735393  1.3346  0.051048
6.2476571286  1.3362  0.050982
6.24024961  1.3352  0.05092
6.232859636  1.3351  0.052125
6.2254871444  1.3334  0.052064
6.2177454455  1.335  0.051996
6.2104086449  1.334  0.051935
6.2030891384  1.3326  0.053136
6.195403011  1.3339  0.053068
6.1881188119  1.3324  0.053005
6.1808517214  1.3323  0.052941
6.1736016792  1.3312  0.052878
6.1659884079  1.3328  0.054067
6.1587731724  1.3311  0.054005
6.1515748031  1.3296  0.053941
6.1440157287  1.3313  0.053872
6.136851795  1.3302  0.053807
6.1297045482  1.33  0.054997
6.1225739301  1.3283  0.054932
