mastrapa2008Ic
130
ne
Wavelength (microns) 	 real  imaginary
1.1395452e+00  1.3122691e+00  1.0810152e-08
1.1396705e+00  1.3122671e+00  1.0811341e-08
1.1397959e+00  1.3122652e+00  1.0812530e-08
1.1399213e+00  1.3122633e+00  1.0813720e-08
1.1400467e+00  1.3122613e+00  1.0814909e-08
1.1401721e+00  1.3122593e+00  1.0816099e-08
1.1402977e+00  1.3122574e+00  1.0817289e-08
1.1404231e+00  1.3122554e+00  1.0818480e-08
1.1405486e+00  1.3122535e+00  1.0819670e-08
1.1406741e+00  1.3122514e+00  1.0820861e-08
1.1407996e+00  1.3122495e+00  1.0822053e-08
1.1409253e+00  1.3122476e+00  1.0823244e-08
1.1410509e+00  1.3122457e+00  1.0824436e-08
1.1411766e+00  1.3122437e+00  1.0825628e-08
1.1413023e+00  1.3122418e+00  1.0826820e-08
1.1414280e+00  1.3122398e+00  1.0828013e-08
1.1415538e+00  1.3122379e+00  1.0829206e-08
1.1416795e+00  1.3122360e+00  1.0830399e-08
1.1418053e+00  1.3122340e+00  1.0831592e-08
1.1419311e+00  1.3122320e+00  1.0832786e-08
1.1420569e+00  1.3122300e+00  1.0833980e-08
1.1421828e+00  1.3122281e+00  1.0835174e-08
1.1423087e+00  1.3122261e+00  1.0836368e-08
1.1424347e+00  1.3122241e+00  1.0837563e-08
1.1425606e+00  1.3122222e+00  1.0838758e-08
1.1426866e+00  1.3122202e+00  1.0839953e-08
1.1428126e+00  1.3122183e+00  1.0841148e-08
1.1429387e+00  1.3122163e+00  1.0842344e-08
1.1430649e+00  1.3122144e+00  1.0843540e-08
1.1431909e+00  1.3122123e+00  1.0844736e-08
1.1433170e+00  1.3122104e+00  1.0845933e-08
1.1434431e+00  1.3122085e+00  1.0847129e-08
1.1435694e+00  1.3122065e+00  1.0848326e-08
1.1436955e+00  1.3122045e+00  1.0849524e-08
1.1438218e+00  1.3122026e+00  1.0850721e-08
1.1439480e+00  1.3122005e+00  1.0851919e-08
1.1440743e+00  1.3121986e+00  1.0853117e-08
1.1442007e+00  1.3121966e+00  1.0854316e-08
1.1443270e+00  1.3121947e+00  1.0855514e-08
1.1444534e+00  1.3121927e+00  1.0856713e-08
1.1445798e+00  1.3121907e+00  1.0857912e-08
1.1447062e+00  1.3121887e+00  1.0859112e-08
1.1448327e+00  1.3121868e+00  1.0860311e-08
1.1449592e+00  1.3121848e+00  1.0861511e-08
1.1450857e+00  1.3121828e+00  1.0862711e-08
1.1452123e+00  1.3121808e+00  1.0863912e-08
1.1453388e+00  1.3121789e+00  1.0865113e-08
1.1454654e+00  1.3121769e+00  1.0866314e-08
1.1455921e+00  1.3121749e+00  1.0867515e-08
1.1457187e+00  1.3121729e+00  1.0868716e-08
1.1458454e+00  1.3121709e+00  1.0869918e-08
1.1459721e+00  1.3121690e+00  1.0871120e-08
1.1460989e+00  1.3121670e+00  1.0872323e-08
1.1462256e+00  1.3121650e+00  1.0873525e-08
1.1463524e+00  1.3121630e+00  1.0874728e-08
1.1464792e+00  1.3121610e+00  1.0875931e-08
1.1466061e+00  1.3121589e+00  1.0877135e-08
1.1467330e+00  1.3121570e+00  1.0878338e-08
1.1468599e+00  1.3121551e+00  1.0879542e-08
1.1469868e+00  1.3121531e+00  1.0880746e-08
1.1471138e+00  1.3121511e+00  1.0881951e-08
1.1472408e+00  1.3121490e+00  1.0883156e-08
1.1473678e+00  1.3121471e+00  1.0884361e-08
1.1474949e+00  1.3121451e+00  1.0885566e-08
1.1476220e+00  1.3121431e+00  1.0886771e-08
1.1477491e+00  1.3121411e+00  1.0887977e-08
1.1478761e+00  1.3121392e+00  1.0889183e-08
1.1480035e+00  1.3121371e+00  1.0890390e-08
1.1481307e+00  1.3121351e+00  1.0891596e-08
1.1482579e+00  1.3121331e+00  1.0892803e-08
1.1483850e+00  1.3121310e+00  1.0894010e-08
1.1485122e+00  1.3121291e+00  1.0895218e-08
1.1486396e+00  1.3121271e+00  1.0896425e-08
1.1487670e+00  1.3121251e+00  1.0897633e-08
1.1488943e+00  1.3121231e+00  1.0898841e-08
1.1490217e+00  1.3121212e+00  1.0900050e-08
1.1491491e+00  1.3121191e+00  1.0901259e-08
1.1492766e+00  1.3121171e+00  1.0902468e-08
1.1494040e+00  1.3121151e+00  1.0903677e-08
1.1495315e+00  1.3121130e+00  1.0904886e-08
1.1496592e+00  1.3121111e+00  1.0906096e-08
1.1497866e+00  1.3121091e+00  1.0907306e-08
